日付,純売上,純売上(税抜),消費税,免税額,総売上,値引き,ポイント利用,外税受領,売上対象外,送料,手数料,原価,粗利,販売点数,返品数,取引数,取引単価,客数,客単価,予算設定金額,予算達成率,クーポン利用
2026/01/01,0,0,0,0,,,,0,,,,,,,,,,,,774193,,
2026/01/02,0,0,0,0,,,,0,,,,,,,,,,,,774193,,
2026/01/03,0,0,0,0,,,,0,,,,,,,,,,,,774193,,
2026/01/04,0,0,0,0,,,,0,,,,,,,,,,,,774193,,
2026/01/05,91030,82756,8274,0,91030,0,0,0,0,0,0,0,91030,24,0,10,9103,17,5355,774193,10.7,0
2026/01/06,1407583,1279631,127952,0,1397439,0,0,10144,0,0,0,0,1407583,126,0,19,74083,42,33514,774193,165.3,0
2026/01/07,0,0,0,0,,,,0,,,,,,,,,,,,774193,,
2026/01/08,756358,687605,68753,0,751611,0,0,4747,0,0,0,0,756358,176,0,23,32885,49,15436,774193,88.8,0
2026/01/09,1715956,1559971,155985,0,1705671,0,0,10285,0,0,0,0,1715956,218,0,29,59171,57,30104,774193,201.5,0
2026/01/10,1352418,1229482,122936,0,1341985,0,0,10433,0,0,0,0,1352418,166,0,21,64401,51,26518,774193,158.8,0
2026/01/11,787245,715720,71525,0,783103,0,0,4142,0,0,0,0,787245,147,0,33,23856,74,10638,774193,92.4,0
2026/01/12,1541618,1401480,140138,0,1533222,0,0,8396,0,0,0,0,1541618,156,0,19,81138,42,36705,774193,181,0
2026/01/13,333474,303160,30314,0,330459,0,0,3015,0,0,0,0,333474,43,0,4,83369,8,41684,774193,39.2,0
2026/01/14,0,0,0,0,,,,0,,,,,,,,,,,,774193,,
2026/01/15,1610683,1464356,146327,0,1601419,0,0,9264,0,0,0,0,1610683,95,0,22,73213,48,33556,774193,189.1,0
2026/01/16,730559,664158,66401,0,725962,0,0,4597,0,0,0,0,730559,166,0,27,27058,54,13529,774193,85.8,0
2026/01/17,1712562,1556888,155674,0,1704942,0,0,7620,0,0,0,0,1712562,140,0,25,68502,57,30045,774193,201.1,0
2026/01/18,1211169,1101078,110091,0,1203514,0,0,7655,0,0,0,0,1211169,237,0,31,39070,79,15331,774193,142.2,0
2026/01/19,1814639,1649741,164898,0,1800762,0,0,13877,0,0,0,0,1814639,129,0,18,100813,44,41242,774193,213.1,0
2026/01/20,230085,209170,20915,0,228185,0,0,1900,0,0,0,0,230085,26,0,2,115043,4,57521,774193,27,0
2026/01/21,0,0,0,0,,,,0,,,,,,,,,,,,774193,,
2026/01/22,1114645,1013321,101324,0,1107480,0,0,7165,0,0,0,0,1114645,140,0,20,55732,41,27186,774193,130.9,0
2026/01/23,1772265,1611220,161045,0,1762584,0,0,9681,0,0,0,0,1772265,200,0,24,73844,55,32223,774193,208.1,0
2026/01/24,1947323,1770309,177014,0,1935238,0,0,12085,0,0,0,0,1947323,139,0,26,74897,63,30910,774193,228.7,0
2026/01/25,1774206,1612928,161278,0,1762362,0,0,11844,0,0,0,0,1774206,184,0,28,63365,69,25713,774193,208.3,0
2026/01/26,775082,704632,70450,0,769910,0,0,5172,0,0,0,0,775082,135,0,26,29811,48,16148,774193,91,0
2026/01/27,1715695,1559730,155965,0,1701519,0,0,14176,0,0,0,0,1715695,63,0,9,190633,13,131977,774193,201.5,0
2026/01/28,0,0,0,0,,,,0,,,,,,,,,,,,774193,,
2026/01/29,1547304,1406652,140652,0,1535672,0,0,11632,0,0,0,0,1547304,147,0,22,70332,47,32921,774193,181.7,0
2026/01/30,1326640,1206201,120439,0,1316279,0,0,10361,0,0,0,0,1326640,161,0,23,57680,46,28840,774193,155.8,0
2026/01/31,1294088,1176456,117632,0,1284315,0,0,9773,0,0,0,0,1294088,147,0,24,53920,56,23109,774210,152,0
